x,y,score,dist,stereotype,appropriate
herself,himself,0.9213447570800781,0.8021826148033142,unknown,unknown
her,his,0.9077807664871216,0.8533388376235962,unknown,unknown
she'sa,he'sa,0.8327799439430237,0.7721987366676331,unknown,unknown
woman,man,0.7530543804168701,0.6835185289382935,unknown,unknown
alumna,alumnus,0.69432532787323,0.7611467242240906,unknown,unknown
shes,hes,0.680352509021759,0.8491368293762207,unknown,unknown
businesswoman,businessman,0.6597634553909302,0.8513985276222229,unknown,unknown
actress,actor,0.6525242924690247,0.643426775932312,unknown,unknown
countrywoman,countryman,0.6494423747062683,0.9820863604545593,unknown,unknown
prides_herself,prides_himself,0.6486802697181702,0.8781970143318176,unknown,unknown
chairwoman,chairman,0.6397420763969421,0.8473076820373535,unknown,unknown
heroine,hero,0.6293897032737732,0.9786666631698608,unknown,unknown
Miyazato_steadied,liveliest_disagreement,0.6042760610580444,0.9405596852302551,unknown,unknown
sisters,brothers,0.5910359025001526,0.7910517454147339,unknown,unknown
motherly,fatherly,0.5780649185180664,0.8400962948799133,unknown,unknown
petite,stocky,0.5729086399078369,0.9951015710830688,unknown,unknown
frontwoman,frontman,0.5656787157058716,0.9180152416229248,unknown,unknown
comedienne,comedian,0.5583168268203735,0.7392023801803589,unknown,unknown
motherhood,fatherhood,0.5526024699211121,0.8683604598045349,unknown,unknown
women,men,0.5513932704925537,0.6819182634353638,unknown,unknown
saleswoman,salesman,0.5341103672981262,0.8374317288398743,unknown,unknown
sisterly,brotherly,0.5337177515029907,0.8770771026611328,unknown,unknown
busied_herself,busied_himself,0.526080846786499,0.9490834474563599,unknown,unknown
girlish,boyish,0.5148617029190063,0.9215606451034546,unknown,unknown
pixie_ish,scraggly_haired,0.5106846690177917,0.9815394878387451,unknown,unknown
beautician,barber,0.5096606016159058,0.9097363948822021,unknown,unknown
Chairwoman,chairman,0.5019375681877136,0.9959834814071655,unknown,unknown
grandmotherly,grandfatherly,0.5005837082862854,0.980349063873291,unknown,unknown
