word,axis_projection_softball_minus_football,beta_before,beta_after
bookkeeper,0.17852839827537537,0.2292416747843915,0.2292416747843915
receptionist,0.1587820053100586,0.7066473131626864,0.7066473131626864
registered_nurse,0.15662485361099243,0.3077650378914679,0.3077650378914679
waitress,0.14510414004325867,0.3242952359326038,0.3242952359326038
paralegal,0.14254924654960632,0.3969008818207589,0.3969008818207589
clerk,0.13610222935676575,0.27214125600290334,0.27214125600290334
valedictorian,0.11635082215070724,0.08428799264095095,0.08428799264095095
infielder,0.11467136442661285,-0.05551251724828297,-0.05551251724828297
soloist,0.10199549049139023,0.15216552353086063,0.15216552353086063
therapist,0.10076159238815308,0.23227239708315153,0.23227239708315153
publicist,0.09736760705709457,0.42209917389615026,0.42209917389615026
nanny,0.0913238674402237,0.29745550364803464,0.29745550364803464
counselor,0.08802870661020279,0.13666566179317435,0.13666566179317435
businesswoman,0.08741350471973419,0.6651309200651706,0.6651309200651706
treasurer,0.08613196760416031,0.07643418775586003,0.07643418775586003
actress,0.08278928697109222,0.591892221529203,0.591892221529203
housekeeper,0.08089345693588257,0.30775700666926614,0.30775700666926614
stylist,0.07963044196367264,0.727910119935943,0.727910119935943
maid,0.07927799224853516,0.4092068287440737,0.4092068287440737
ballerina,0.07910218834877014,0.2622998152489409,0.2622998152489409
